,SKOLENHETSKOD,English_avg_score,Math_avg_score,Swedish_avg_score,Swedish_as_a_second_language_avg_score,grand_avg_score,HUVUDMANNATYP,KOMMUNNAMN,SKOLENHETENS NAMN,BESÖKSADRESS,BESÖKSPOSTNR,BESÖKSPOSTORT,WEBB,FKLASS,lon,lat,Google_rating,point,median_kSEK,residual
265,58286716,13.450000000000005,8.933333333333334,11.525,7.2375,10.286458333333334,Kommunal,Sigtuna,Norrbackaskolan,Odensalavägen 1,19543,Märsta,http://www.sigtuna.se/norrbackaskolan,J,17.8506971,59.6339602,4.8,POINT (17.8506971 59.6339602),292.88571428571424,-2.0817402973486985
266,58294981,15.175,12.4,14.9,4.775,11.8125,Kommunal,Sollentuna,Rösjöskolan,Ribbings väg 22,19252,Sollentuna,https://www.sollentuna.se/uweb/rosjoskolan/,J,17.9762774,59.4465286,3.0,POINT (17.9762774 59.4465286),340.3875,-1.690669047246482
267,58310322,15.366666666666664,13.5,14.2,,14.355555555555556,Kommunal,Botkyrka,Trädgårdsstadsskolan,Dymmelkärrsvägen 33,14650,Tullinge,http://www.botkyrka.se/tradgardsstadsskolan,J,17.9142944,59.22066709999999,3.4,POINT (17.9142944 59.22066709999999),335.43000000000006,0.9708371255966259
268,58338225,15.841666666666669,13.4,14.566666666666668,,14.60277777777778,Kommunal,Vaxholm,Rindö skola,Rindövägen 81,18541,Vaxholm,http://www.vaxholm.se,J,18.4356309,59.3953699,5.0,POINT (18.4356309 59.3953699),324.1333333333334,1.4879730422128805
269,58385274,14.033333333333331,9.8,12.625,13.9,12.589583333333332,Kommunal,Salem,Skogsängsskolan,Säbytorgsvägen 18-20,14442,Rönninge,https://www.salem.se/barn--utbildning/grundskola/grundskolor/skogsangsskolan/,J,17.7588442,59.19639960000001,2.8,POINT (17.7588442 59.19639960000001),347.97142857142853,-1.0947901558194388
270,58862351,14.683333333333335,9.366666666666664,12.183333333333332,,12.077777777777778,Kommunal,Tyresö,Bergfotens skola,Bergfotensvängen 2,13537,Tyresö,http://www.tyreso.se,J,18.2196536,59.23703459999999,4.1,POINT (18.2196536 59.23703459999999),316.51,-0.854881009401419
271,59249600,15.275,13.3,13.783333333333331,8.45,12.702083333333334,Kommunal,Stockholm,Eriksdalsskolan,Ringvägen 58-66,11861,Stockholm,https://grundskola.stockholm/hitta-grundskola/grundskola/eriksdalsskolan-f-9/,J,18.0633164,59.3081341,4.0,POINT (18.0633164 59.3081341),364.9805555555556,-1.3886928972803023
272,59266692,18.2375,15.5,14.925,,16.22083333333333,Enskild,Sollentuna,Vittra Rösjötorp,Lomvägen 100,19256,Sollentuna,http://www.vittra.se/rosjotorp,J,17.9941079,59.43609499999999,3.4,POINT (17.9941079 59.43609499999999),429.9111111111111,0.5786573273532074
273,59457803,,,4.8,,4.8,Enskild,Österåker,Helleborusskolan Österåker,Luffarbacken 5,18439,Åkersberga,http://www.helleborusskolan.se,J,18.3072057,59.479277,3.4,POINT (18.3072057 59.479277),335.2727272727273,-8.580960678748045
274,59468219,14.966666666666669,10.3,13.7,9.6,12.141666666666667,Kommunal,Stockholm,Slättgårdsskolan,Vårholmsbackarna 100,12744,Skärholmen,https://grundskola.stockholm/hitta-grundskola/grundskola/slattgardsskolan-f-9/,J,17.9398234,59.2910073,3.2,POINT (17.9398234 59.2910073),303.53076923076924,-0.4808765589324988
275,59848694,17.683333333333334,15.2,16.208333333333332,,16.36388888888889,Enskild,Danderyd,Danderyds Montessoriskola,Vendevägen 94,18232,Danderyd,http://www.dmskola.se,J,18.0438952,59.3946599,5.0,POINT (18.0438952 59.3946599),392.04,1.626575512959528
276,59900714,15.983333333333334,11.25,12.358333333333334,,13.197222222222225,Enskild,Stockholm,Vittra Södermalm,Sandbacksgatan 10,11621,Stockholm,http://www.vittra.se/sodermalm,J,18.0826347,59.31697449999999,3.3,POINT (18.0826347 59.31697449999999),362.0731707317073,-0.8240872354055728
277,59975651,14.891666666666666,12.133333333333333,14.683333333333332,,13.902777777777777,Kommunal,Norrtälje,Svanbergaskolan,Sjöhagavägen,76173,Norrtälje,https://www.norrtalje.se/info/barn-och-skola/grundskola/grundskolor/svanberga-skola/,J,18.6601876,59.8414375,4.0,POINT (18.6601876 59.8414375),299.65,1.372958608847327
278,60131588,17.425,15.5,15.699999999999998,,16.208333333333332,Kommunal,Lidingö,Sticklinge skola,Forellbacken 1,18130,Lidingö,https://www.lidingo.se/sticklingeskola,J,18.1175397,59.3829031,3.0,POINT (18.1175397 59.3829031),482.5,-0.6903603431168825
279,60211862,13.091666666666669,9.2,11.1,,11.130555555555556,Enskild,Upplands Väsby,Vikskolan,Viravägen 4,19455,Upplands Väsby,http://www.magnetica.se,J,17.9407478,59.5323205,2.4,POINT (17.9407478 59.5323205),328.52000000000004,-2.089060753282446
280,60308449,17.974999999999998,15.2,15.725,,16.3,Enskild,Stockholm,Filosofiska,Horisontvägen 22-24,12834,Skarpnäck,http://www.filosofiska.nu,J,18.1237696,59.2669509,5.0,POINT (18.1237696 59.2669509),329.5533333333334,3.0556940348438673
